STUDENTID,YEAR,NEWCOURSECODE,NEWCOURSETITLE,STUDYLEVEL,COMMUTELENGTH,ACCOMMODATIONTYPE,CAMPUSPOSTCODE,AVERAGEMODULEMARK,ACTUALATTENDANCEDAYS,EXPECTEDATTENDANCEDAYS
"A!%L@7-C*7<2$+4(-J!RV""",2016/17,BMMUS01F,BMus Commercial Music Performance FT,Level 6,0.25,Other inc. Private Halls,HA1 3TP,67,11,52
"A!,)O9NN:8RI?4'Y""""[?H/",2016/17,BAARC01F,BA Architecture FT,Level 6,1.32,Other inc. Private Halls,NW1 5LS,50,3,83
"A!/M6C0?,OMGT6BCF;;LP/",2016/17,BAMRK03F,BA Marketing Management FT,Level 4,9.07,Commuter,NW1 5LS,56,36,86
"A!/M6C0?,OMGT6BCF;;LP/",2017/18,BAMRK03F,BA Marketing Management FT,Level 5,9.07,Commuter,NW1 5LS,66,26,63
A![_&.Q8<R*?69I1_QMV%0,2016/17,BACRI01F,BA Criminology FT,Level 6,3.39,Commuter,W1B 2HW,62,34,62
"A!]H9#:6IR,#T.ET<PM(D-",2016/17,BABSM06F,BA Business Management FT,Level 5,12.47,Unknown,NW1 5LS,59,33,89
"A!]H9#:6IR,#T.ET<PM(D-",2017/18,BABSM06F,BA Business Management FT,Level 6,12.47,Unknown,NW1 5LS,62,21,64
A!<[9G`O0G+%51I\O!M=0-,2016/17,BAFAS01F,BA Fashion Buying Management FT,Level 5,4.33,Other inc. Private Halls,HA1 3TP,65,17,72
"A!3[DB`,*7)>:@H4Z%4$]/",2016/17,BSFIN01F,BSc Finance FT,Level 6,9.59,Other inc. Private Halls,NW1 5LS,79,69,78
"A!63A-^.72<""/F5J>_!*>$",2017/18,BAHRM01F,BA Human Resource Management FT,Level 4,6.57,Commuter,NW1 5LS,61,59,73
"A!A7>O=A1>`[,!C863:;J&",2017/18,BECSS01F,BEng Software Engineering FT,Level 5,5.05,Commuter,W1W 6XH,0,28,60
"A!CZ<\]1^G*9:3!J@73)7""",2016/17,BASOC01F,BA Sociology FT,Level 6,16.04,Other inc. Private Halls,W1B 2HW,62,42,70
A!F\DZ.A1\@F2N7CTF/$5.,2016/17,BACRI01F,BA Criminology FT,Level 5,30.59,Unknown,W1B 2HW,17,3,54
"A!IIY$`,$WB1DB3NDC_AE!",2016/17,BLLAW02F,LLB Law FT,Level 6,19.3,Unknown,W1B 2HW,52,36,87
A!JQ:ZT^IRIF**^(/FFQJ/,2016/17,BABSM06F,BA Business Management FT,Level 6,11.69,Commuter,NW1 5LS,49,53,76
"A!K421J1H,""U0>(F7(#.G+",2017/18,BACRI01F,BA Criminology FT,Level 4,3.84,Other inc. Private Halls,W1B 2HW,49,36,70
"A!RO)\G1TF&*=D!+""@7C9""",2017/18,BAMUS01F,BA Commercial Music FT,Level 4,0.59,UoW Halls,HA1 3TP,64,29,55
A!T+8Y7J()(CT`!-SD=L:$,2016/17,BSBMS03F,BSc Pharmacology and Physiology FT,Level 4,1.28,Other inc. Private Halls,W1W 6XH,77,59,93
A!U0E==WO_4-Y0O#(3%.!$,2016/17,BABSM06F,BA Business Management FT,Level 5,15.42,Other inc. Private Halls,NW1 5LS,66,33,73
A!U0E==WO_4-Y0O#(3%.!$,2017/18,BABSM06F,BA Business Management FT,Level 6,15.42,Other inc. Private Halls,NW1 5LS,66,23,71
"A!UT:'X?>""D]LU""+!9GZ^$",2016/17,BILAW04F,Integrated Master‰Ûªs in Law (M-Law) FT,Level 6,0.76,Other inc. Private Halls,W1B 2HW,41,17,71
"A""-/>7\RTG&4\P*!.^56[!",2016/17,BAHIS01F,BA History and Politics FT,Level 5,6.59,UoW Halls,W1B 2HW,66,53,72
"A""-/>7\RTG&4\P*!.^56[!",2017/18,BAHIS01F,BA History and Politics FT,Level 6,6.59,UoW Halls,W1B 2HW,59,42,59
"A""&""6(I6W.PF6+7L3\M""F-",2016/17,BLLAW02F,LLB Law FT,Level 5,11,Commuter,W1B 2HW,65,86,94
"A""=@P(:(%RLO=HTO`]3`1-",2016/17,BLLAW02F,LLB Law FT,Level 5,2.55,Other inc. Private Halls,W1B 2HW,56,22,97
"A""=@P(:(%RLO=HTO`]3`1-",2017/18,BLLAW02F,LLB Law FT,Level 6,1.17,Other inc. Private Halls,W1B 2HW,52,24,84
"A""02;'B@D7^;3*$>YL4%W!",2016/17,BATFM01F,BA Film FT,Level 5,3.96,Unknown,HA1 3TP,55,9,95
"A""02;'B@D7^;3*$>YL4%W!",2017/18,BATFM01F,BA Film FT,Level 6,3.96,Unknown,HA1 3TP,62,1,38
"A""ENALRPDZM""T%4E>O_48.",2017/18,BABSM06F,BA Business Management FT,Level 4,6.63,Commuter,NW1 5LS,62,65,73
"A""J1+S)LXG[;-B6])N,J:&",2016/17,BSBIO02F,BSc Biological Sciences FT,Level 6,8.03,Commuter,W1W 6XH,60,22,75
"A""R6?7ZHJ$V^U8O&/M>$]*",2016/17,BABSM07F,BA International Business FT,Level 5,6,UoW Halls,NW1 5LS,63,60,115
"A""T?&UGTQ?!,HYP8QT,/#0",2016/17,BSCPM01F,BSc Chinese Medicine Acupuncture FT,Level 4,6.64,UoW Halls,W1W 6XH,61,35,90
"A""T7U@+B`ATH*.V#\Z5R&(",2016/17,BSACC01F,BSc Accounting FT,Level 6,6.15,Other inc. Private Halls,NW1 5LS,62,48,101
"A""Y2_=]U84!O`JOL^G2Y*,",2016/17,BACRI01F,BA Criminology FT,Level 5,9.54,Other inc. Private Halls,W1B 2HW,59,41,74
"A""Y2_=]U84!O`JOL^G2Y*,",2017/18,BACRI01F,BA Criminology FT,Level 6,9.54,Other inc. Private Halls,W1B 2HW,58,26,59
"A#-_D$,P>PKJMYLUA!(-M""",2016/17,BATFM01F,BA Film FT,Level 5,0.43,Other inc. Private Halls,HA1 3TP,62,12,98
"A#$Q'!<>+.;%O6!3_ER76""",2016/17,BABSM06F,BA Business Management FT,Level 5,3.56,Other inc. Private Halls,NW1 5LS,50,59,86
"A#$Q'!<>+.;%O6!3_ER76""",2017/18,BABSM06F,BA Business Management FT,Level 6,3.3,Other inc. Private Halls,NW1 5LS,62,57,73
A#(KX^;7`PE^7%=4-[*P]#,2016/17,BAMRK02F,BA Marketing Communications FT,Level 4,0.49,Other inc. Private Halls,NW1 5LS,0,20,74
A#)I4.C=:]+*B*R8047:B.,2016/17,BABSM07F,BA International Business FT,Level 5,10.31,Unknown,NW1 5LS,49,44,76
"A#*4#8:\PJ^<4EUI""2C<D$",2017/18,BABSM06F,BA Business Management FT,Level 4,6.07,UoW Halls,NW1 5LS,58,56,84
A#.B'+58FITT]3+5*Q]?$.,2017/18,BATOE02F,BA Tourism Planning and Management FT,Level 6,10.05,Unknown,NW1 5LS,60,34,60
"A#/MMD.2-P]R=-""[T1X%20",2016/17,BABSM06F,BA Business Management FT,Level 5,2.81,Commuter,NW1 5LS,40,56,100
"A#_AYZF1NG)SQY?Q1>M65,",2016/17,BSACC01F,BSc Accounting FT,Level 4,3.66,Commuter,NW1 5LS,86,59,76
"A#_AYZF1NG)SQY?Q1>M65,",2017/18,BSACC01F,BSc Accounting FT,Level 5,3.66,Commuter,NW1 5LS,82,61,76
A#++W(+KW@63G/4(6A^JE+,2017/18,BATFM01F,BA Film FT,Level 4,0.59,UoW Halls,HA1 3TP,66,13,93
A#1Z224NC0ZFM=*13TA47#,2017/18,BAMRK02F,BA Marketing Communications FT,Level 4,0.77,Other inc. Private Halls,NW1 5LS,57,50,72
"A#2B5/R%.'=(6#6&0+,4$%",2016/17,BAPHT01F,BA Contemporary Media Practice FT,Level 6,0.76,Other inc. Private Halls,HA1 3TP,66,2,22
"A#8,P#.=RN1@7$^RTD>OU*",2016/17,BAENG07F,BA English Literature FT,Level 6,8.08,Other inc. Private Halls,W1B 2HW,62,15,76
A#9V;&EXXP)0*\%Q?/?;N),2016/17,BSCSS02F,BSc Computer Science FT,Level 6,8.31,Commuter,W1W 6XH,61,41,71
"A#E_),6B-_TB8[AFU0_[`$",2016/17,BATFM01F,BA Film FT,Level 6,5.15,Unknown,HA1 3TP,67,2,138
"A#IE5,P[L&8`DZ4^3W;\1)",2017/18,BAARC01F,BA Architecture FT,Level 4,6.07,UoW Halls,NW1 5LS,62,56,107
"A#J\!WP,'HA[(;LA]IYAK(",2016/17,BSPSY02F,BSc Psychology FT,Level 4,4.41,Other inc. Private Halls,W1W 6XH,66,63,71
"A#J\!WP,'HA[(;LA]IYAK(",2017/18,BSPSY02F,BSc Psychology FT,Level 5,3.78,Other inc. Private Halls,W1W 6XH,69,63,70
A#L[7T5BBE=8!=P^<YT#<(,2016/17,BSPSY02F,BSc Psychology FT,Level 5,4.08,Commuter,W1W 6XH,58,55,71
A#L[7T5BBE=8!=P^<YT#<(,2017/18,BSPSY02F,BSc Psychology FT,Level 6,4.08,Commuter,W1W 6XH,64,29,55
"A#N:%W3KRO-Y?^Z?R(""6'""",2016/17,BABSM06F,BA Business Management FT,Level 4,8.67,Commuter,NW1 5LS,70,49,75
"A#N:%W3KRO-Y?^Z?R(""6'""",2017/18,BABSM06F,BA Business Management FT,Level 5,9.64,Other inc. Private Halls,NW1 5LS,70,52,76
"A#W""/S6\EUT>K91^Z,LAR%",2016/17,BLLAW02F,LLB Law FT,Level 5,2.55,Other inc. Private Halls,W1B 2HW,61,77,94
"A#W""/S6\EUT>K91^Z,LAR%",2017/18,BLLAW02F,LLB Law FT,Level 6,2.55,Other inc. Private Halls,W1B 2HW,65,46,86
"A#ZT4JFG$F^4@%IWNU,U90",2017/18,BABSM06F,BA Business Management FT,Level 4,1.75,Other inc. Private Halls,NW1 5LS,76,62,73
A$'UGVS>XB6+;PA:J(90`),2016/17,BABSM06F,BA Business Management FT,Level 5,28.94,Unknown,NW1 5LS,64,71,87
A$'UGVS>XB6+;PA:J(90`),2017/18,BABSM06F,BA Business Management FT,Level 6,28.94,Unknown,NW1 5LS,71,45,61
"A$+Q,7W=L*Z<QOW+\2OAP,",2016/17,BACRI01F,BA Criminology FT,Level 6,10.87,Commuter,W1B 2HW,63,18,62
"A$>XC@,+7,IY>,\H[(>QX+",2016/17,BSFIN01F,BSc Finance FT,Level 4,8.42,Commuter,NW1 5LS,64,45,87
"A$>XC@,+7,IY>,\H[(>QX+",2017/18,BSFIN01F,BSc Finance FT,Level 5,1.84,Other inc. Private Halls,NW1 5LS,58,11,75
"A$9/U^$*_N=$T>"":F1)4^$",2016/17,BLLAW02F,LLB Law FT,Level 5,10.1,Other inc. Private Halls,W1B 2HW,51,59,95
"A$9/U^$*_N=$T>"":F1)4^$",2017/18,BLLAW02F,LLB Law FT,Level 6,10.1,Other inc. Private Halls,W1B 2HW,54,29,60
"A$COBTLTZ^'""U\^G(*K^/""",2017/18,BAFAS03F,BA Fashion Merchandise Management FT,Level 4,3.16,Commuter,HA1 3TP,53,52,70
"A$DO&>-O`7Q39TK""3<X?G!",2016/17,BABSM06F,BA Business Management FT,Level 5,15.42,Other inc. Private Halls,NW1 5LS,55,27,96
"A$DO&>-O`7Q39TK""3<X?G!",2017/18,BABSM06F,BA Business Management FT,Level 6,8.64,Other inc. Private Halls,NW1 5LS,37,6,76
"A$J--LU<K,QD`29XGSE]X-",2016/17,BAHRM01F,BA Human Resource Management FT,Level 4,2.38,Other inc. Private Halls,NW1 5LS,68,54,83
"A$J--LU<K,QD`29XGSE]X-",2017/18,BAHRM01F,BA Human Resource Management FT,Level 5,4.31,Other inc. Private Halls,NW1 5LS,67,44,71
A$R5-R$A[!7?N0A#0H4:J.,2017/18,BSARC01F,BSc Architecture and Environmental Design FT,Level 4,6.07,UoW Halls,NW1 5LS,63,64,119
A$XWU6'\E*/RE3.W1\VB`+,2016/17,BABSM07F,BA International Business FT,Level 6,24.41,Unknown,NW1 5LS,56,20,97
A$YX>95#A0C8X]\+)]S-_),2016/17,BAENG02F,BA English Literature and Language FT,Level 4,10.33,Unknown,W1B 2HW,66,45,98
A$YX>95#A0C8X]\+)]S-_),2017/18,BAENG02F,BA English Literature and Language FT,Level 5,10.33,Unknown,W1B 2HW,61,36,59
"A%,%""]1)D^POX@!T4T5O''",2016/17,BSPOC07F,BSc Real Estate FT,Level 6,41.85,Unknown,NW1 5LS,0,5,63
"A%,%""]1)D^POX@!T4T5O''",2017/18,BSPOC07F,BSc Real Estate FT,Level 6,5.81,Other inc. Private Halls,NW1 5LS,64,21,74
A%;6\8%;%!.C`MBIC4AEU+,2016/17,BABSM06F,BA Business Management FT,Level 6,11.39,Unknown,NW1 5LS,62,40,86
"A%[@O<]`""S_D>=GM`Y<+!""",2017/18,BAFAS02F,BA Fashion Design FT,Level 6,0.59,UoW Halls,HA1 3TP,56,0,152
"A%^+[LAHV8UV*""5.XPM>G""",2016/17,BSPSY02F,BSc Psychology FT,Level 5,0.79,Other inc. Private Halls,W1W 6XH,,9,64
A%^X\&$[W$S^!\++$F=$E!,2016/17,BAENG05F,BA English Literature and History FT,Level 4,3.06,Commuter,W1B 2HW,48,37,65
A%^X\&$[W$S^!\++$F=$E!,2017/18,BAENG05F,BA English Literature and History FT,Level 5,3.06,Commuter,W1B 2HW,37,30,79
"A%<COX2B^/,BB:J8:W!>U$",2016/17,BABSM06F,BA Business Management FT,Level 5,2.42,Other inc. Private Halls,NW1 5LS,49,41,87
"A%<COX2B^/,BB:J8:W!>U$",2017/18,BABSM06F,BA Business Management FT,Level 6,2.43,Other inc. Private Halls,NW1 5LS,53,26,77
"A%4>>#:,6CI$3>^33T4`""!",2017/18,BLLAW02F,LLB Law FT,Level 4,7.54,Commuter,W1B 2HW,63,51,71
"A%6FSVW#-#S`,*+^[#XHZ%",2017/18,BSPSY02F,BSc Psychology FT,Level 4,6.74,Commuter,W1W 6XH,4,24,76
"A%92*M`KVMYN2#4J6""M!^+",2016/17,BAHIS03F,BA History FT,Level 5,8.98,Commuter,W1B 2HW,57,7,54
"A%92*M`KVMYN2#4J6""M!^+",2017/18,BAHIS03F,BA History FT,Level 6,8.98,Commuter,W1B 2HW,50,7,55
"A%A@E9H24.GS\'RU,UZ`#/",2017/18,BAJMC06F,BA Television Production FT,Level 4,0.59,UoW Halls,HA1 3TP,67,39,84
A%A`_HS%?AB>_.G.M/D3U!,2016/17,BABSM06F,BA Business Management FT,Level 5,7.15,Other inc. Private Halls,NW1 5LS,53,36,86
A%A`_HS%?AB>_.G.M/D3U!,2017/18,BABSM06F,BA Business Management FT,Level 6,7.15,Other inc. Private Halls,NW1 5LS,52,30,63
A%EV;_24!DO^AZ)=C8.&?.,2016/17,BASOC01F,BA Sociology FT,Level 5,3.84,Commuter,W1B 2HW,63,35,77
A%EV;_24!DO^AZ)=C8.&?.,2017/18,BASOC01F,BA Sociology FT,Level 6,3.84,Commuter,W1B 2HW,66,15,57
A%FA/A?B2K;D<Z_4V@((W),2016/17,BAARC01F,BA Architecture FT,Level 5,6.49,Unknown,NW1 5LS,55,41,71
A%FA/A?B2K;D<Z_4V@((W),2017/18,BAARC01F,BA Architecture FT,Level 6,6.49,Unknown,NW1 5LS,64,31,85
"A%IW=]#1$0T;O;'5?`%OE,",2016/17,BATOE01F,BA Tourism and Events Management FT,Level 4,26.57,Unknown,NW1 5LS,51,45,73
"A%IW=]#1$0T;O;'5?`%OE,",2017/18,BATOE01F,BA Tourism and Events Management FT,Level 5,29.24,Unknown,NW1 5LS,47,26,74
"A%J924K%-ET$L""[S.,O[#""",2016/17,BSCSS02F,BSc Computer Science FT,Level 6,10.14,Commuter,W1W 6XH,71,40,95
"A%K,A'@Z-V""?R$7^+ZYG])",2017/18,BAARC02F,BA Interior Architecture FT,Level 4,2.23,Other inc. Private Halls,NW1 5LS,70,40,91
A%N45P-#/XTW\]$RO9!S/&,2016/17,BAJMC04F,BA Public Relations and Advertising FT,Level 4,3.54,Other inc. Private Halls,HA1 3TP,63,43,73
A%N45P-#/XTW\]$RO9!S/&,2017/18,BAJMC04F,BA Public Relations and Advertising FT,Level 5,3.54,Other inc. Private Halls,HA1 3TP,64,44,72
"A%O4,6JQ.&UNF_6T=8GAV)",2016/17,BAJMC02F,BA Journalism FT,Level 6,10.54,Other inc. Private Halls,HA1 3TP,70,1,60
"A%Q/GF;[_5AY?;,'IK56%""",2016/17,BAMUS01F,BA Commercial Music FT,Level 6,0.6,Other inc. Private Halls,HA1 3TP,42,8,59
A%RUZ&+:-@^!IY3?!3;09/,2016/17,BAPHT02F,BA Photography FT,Level 5,15.21,Commuter,HA1 3TP,65,13,106
A%RUZ&+:-@^!IY3?!3;09/,2017/18,BAPHT02F,BA Photography FT,Level 6,15.21,Commuter,HA1 3TP,65,4,60
"A%V""X6)#0@^_`B`53)-LX.",2016/17,BAADS03F,BA Illustration and Visual Communication FT,Level 6,31.64,Unknown,HA1 3TP,64,9,60
A%W[`SW+*%CAKZ6'=*-G+',2016/17,BAJMC04F,BA Public Relations and Advertising FT,Level 6,2.24,UoW Halls,HA1 3TP,69,30,57
A&%@L_51S:^>0N2ZI'F!>/,2016/17,BLLAW02F,LLB Law FT,Level 5,1.52,Other inc. Private Halls,W1B 2HW,53,69,98
A&%@L_51S:^>0N2ZI'F!>/,2017/18,BLLAW02F,LLB Law FT,Level 6,1.71,Other inc. Private Halls,W1B 2HW,55,34,70
"A&\[,B=9--_""QX^'SZ:MM)",2016/17,BABSM06F,BA Business Management FT,Level 6,12.51,Commuter,NW1 5LS,63,38,95
A&]MYGPS%W[%UL;X.+:))-,2016/17,BSECO01F,BSc Business Economics FT,Level 4,4.29,Commuter,NW1 5LS,,13,87
A&=WX29!?XU4`QO05%+U?.,2016/17,BLLAW02F,LLB Law FT,Level 4,0.32,Other inc. Private Halls,W1B 2HW,59,65,98
A&=WX29!?XU4`QO05%+U?.,2017/18,BLLAW02F,LLB Law FT,Level 5,0.32,Other inc. Private Halls,W1B 2HW,61,58,82
A&3E#TL\?4;1BG[I8]]8`-,2016/17,BACRI02F,BA Sociology and Criminology FT,Level 4,8.6,Commuter,W1B 2HW,59,52,65
A&3E#TL\?4;1BG[I8]]8`-,2017/18,BACRI02F,BA Sociology and Criminology FT,Level 5,8.6,Commuter,W1B 2HW,60,45,62
A&A87.4)FR131CCTU363T+,2016/17,BAHIS01F,BA History and Politics FT,Level 5,4.85,Other inc. Private Halls,W1B 2HW,67,24,63
"A&EI:TQ(1@$R,`?)[A:)S0",2016/17,BSPOC05F,BSc Property and Planning FT,Level 4,9.9,Commuter,NW1 5LS,74,49,75
A&H$;+I$HT%@98U?U_9(1&,2016/17,BABSM06F,BA Business Management FT,Level 6,12.65,Other inc. Private Halls,NW1 5LS,71,37,78
"A&T0@Q8J/,Q$YP""I:AMRX-",2016/17,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 4,4.58,Commuter,W1W 6XH,0,0,72
A&U0&+NEKN&*?+D=!6#L;),2017/18,BABSM06F,BA Business Management FT,Level 4,0.74,Other inc. Private Halls,NW1 5LS,69,49,72
A(-H^KK^AF_9SNF)RP<)+/,2017/18,BSBIO01F,BSc Biochemistry FT,Level 6,10.09,Other inc. Private Halls,W1W 6XH,33,5,83
"A(!:Y""RJY7F*^ETQZN'+#-",2016/17,BSECO01F,BSc Business Economics FT,Level 6,3.37,Other inc. Private Halls,NW1 5LS,65,55,80
A((Y1GML<V4Z#%QLU`@PX(,2016/17,BABSM06F,BA Business Management FT,Level 4,11.56,Commuter,NW1 5LS,59,22,86
A((Y1GML<V4Z#%QLU`@PX(,2017/18,BABSM06F,BA Business Management FT,Level 5,11.56,Commuter,NW1 5LS,58,4,75
"A()K87!Y,""D6>ZN.UDS%Z%",2017/18,BSMGM03F,BSc Digital Media Development FT,Level 4,10.38,Commuter,W1W 6XH,46,57,100
"A(^(]N\_LPE,*M*6X""4?'(",2016/17,BLLAW02F,LLB Law FT,Level 4,6.66,UoW Halls,W1B 2HW,59,60,97
"A(^(]N\_LPE,*M*6X""4?'(",2017/18,BLLAW02F,LLB Law FT,Level 5,6.66,UoW Halls,W1B 2HW,51,27,76
"A(=[\"")_X+4^-89QB/G$_,",2016/17,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 5,8.99,Commuter,W1W 6XH,76,63,69
"A(=[\"")_X+4^-89QB/G$_,",2017/18,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 6,8.99,Commuter,W1W 6XH,75,44,64
"A(7'%A#=5[4-@TI$I6N,+&",2016/17,BABSM07F,BA International Business FT,Level 5,6.12,Other inc. Private Halls,NW1 5LS,53,33,84
"A(7'%A#=5[4-@TI$I6N,+&",2017/18,BABSM07F,BA International Business FT,Level 6,5.83,Other inc. Private Halls,NW1 5LS,53,26,62
A(AR#R+=I@+DN)!-N[.R(*,2016/17,BSECO01F,BSc Business Economics FT,Level 6,7.66,Commuter,NW1 5LS,43,14,93
"A(B;(G[IM%)6WO9T""0TF<-",2016/17,BAMRK03F,BA Marketing Management FT,Level 4,8.7,UoW Halls,NW1 5LS,57,57,75
"A(B;(G[IM%)6WO9T""0TF<-",2017/18,BAMRK03F,BA Marketing Management FT,Level 5,6,UoW Halls,NW1 5LS,67,63,75
"A(C/R0$I3O&RBW8)V0N77,",2016/17,BATFM01F,BA Film FT,Level 4,0.59,UoW Halls,HA1 3TP,57,7,84
"A(C/R0$I3O&RBW8)V0N77,",2017/18,BATFM01F,BA Film FT,Level 5,2.41,Other inc. Private Halls,HA1 3TP,53,5,93
